Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-11-28,"Addition,soustraction et multiplication",Trouver la bonne opération pour résoudre un problème,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\28_11_25_cor.pdf
2025-12-01,"Addition,soustraction et multiplication",Déterminer un ordre de grandeur,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\01_12_25_corr.pdf
2025-12-02,"Addition,soustraction et multiplication",Multiplier avec des nombres entiers ou décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\02_12_25_corr.pdf
2025-12-04,Les angles,Mesurer les angles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\04_12_25_corr.pdf
2025-12-05,Les angles,Le vocabulaire des angles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\05_12_25_corr.pdf
2025-12-08,Les angles,Construire la bissectrice d’un angle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\08_12_25_corr.pdf
2025-12-08,Les angles,Construire la bissectrice d’un angle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\08_12_25_corr.pdf
2025-12-09,"Addition,soustraction et multiplication",Multiplier avec des nombres entiers ou décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\08_12_25 (2).pdf
2025-12-11,"Addition,soustraction et multiplication",DS,
2025-12-12,,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\12_12_25.pdf
2025-12-15,,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\15_12_25.pdf
2025-12-16,,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\16_12_25.pdf
2025-12-18,,,
2025-12-19,,,
2026-01-06,,,
2026-01-08,,,
2026-01-09,,,
2026-01-12,,,
2026-01-13,,,
2026-01-15,,,
2026-01-16,,,
2026-01-19,,,
2026-01-19,,,
2026-01-20,,,
2026-01-22,,,
2026-01-23,,,
2026-01-26,,,
2026-01-27,,,
2026-01-29,,,
2026-01-30,,,
2026-02-02,,,
2026-02-02,,,
2026-02-03,,,
2026-02-05,,,
2026-02-06,,,
2026-02-09,,,
2026-02-10,,,
2026-02-12,,,
2026-02-13,,,
2026-03-03,,,
2026-03-05,,,
2026-03-06,,,
2026-03-09,,,
2026-03-10,,,
2026-03-12,,,
2026-03-13,,,
2026-03-16,,,
2026-03-16,,,
2026-03-17,,,
2026-03-19,,,
2026-03-20,,,
2026-03-23,,,
2026-03-24,,,
2026-03-26,,,
2026-03-27,,,
2026-03-30,,,
2026-03-30,,,
2026-03-31,,,
2026-04-02,,,
2026-04-03,,,
2026-04-06,,,
2026-04-07,,,
2026-04-09,,,
2026-04-10,,,
2026-04-28,,,
2026-04-30,,,
2026-05-01,,,
2026-05-04,,,
2026-05-05,,,
2026-05-07,,,
2026-05-08,,,
2026-05-11,,,
2026-05-11,,,
2026-05-12,,,
2026-05-14,,,
2026-05-15,,,
2026-05-18,,,
2026-05-19,,,
2026-05-21,,,
2026-05-22,,,
2026-05-25,,,
2026-05-25,,,
2026-05-26,,,
2026-05-28,,,
2026-05-29,,,
2026-06-01,,,
2026-06-02,,,
2026-06-04,,,
2026-06-05,,,
2026-06-08,,,
2026-06-08,,,
2026-06-09,,,
2026-06-11,,,
2026-06-12,,,
2026-06-15,,,
2026-06-16,,,
2026-06-18,,,
2026-06-19,,,
2026-06-22,,,
2026-06-22,,,
2026-06-23,,,
2026-06-25,,,
2026-06-26,,,
2026-06-29,,,
2026-06-30,,,
2026-07-02,,,
2026-07-03,,,
2026-07-06,,,
2026-07-06,,,
2026-07-07,,,
2026-07-09,,,
2026-07-10,,,
