Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-12-01,"Addition,soustraction et multiplication",Trouver la bonne opération pour résoudre un problème,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\1_corr.pdf
2025-12-02,"Addition,soustraction et multiplication",Déterminer un ordre de grandeur,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\2_corr.pdf
2025-12-02,"Addition,soustraction et multiplication",Multiplier avec des nombres entiers ou décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\3_corr.pdf
2025-12-04,Les angles,Mesurer les angles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\4_corr.pdf
2025-12-08,Les angles,Le vocabulaire des angles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\5_corr.pdf
2025-12-08,Les angles,Construire la bissectrice d’un angle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\6_corr.pdf
2025-12-09,Les angles,Construire la bissectrice d’un angle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\6_corr.pdf
2025-12-11,"Addition,soustraction et multiplication",Multiplier avec des nombres entiers ou décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\7_corr.pdf
2025-12-11,,Devoir commun,
2025-12-15,"Addition,soustraction et multiplication",Mutliplier deux nombres décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\8_corr.pdf
2025-12-16,"Addition,soustraction et multiplication",Mutliplier deux nombres décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\8_corr.pdf
2025-12-16,"Addition,soustraction et multiplication",Mutliplier deux nombres décimaux,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\8_corr.pdf
2025-12-18,"Addition,soustraction et multiplication",Entrer dans l’algèbre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\9.pdf
