Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-12-01,Nombres relatifs,J’utilise les nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\1_corr.pdf
2025-12-03,Nombres relatifs,J’utilise les nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\2_corr.pdf
2025-12-04,Nombres relatifs,Je me repère avec les nombres relatifs et je les compare,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\3_corr.pdf
2025-12-08,Nombres relatifs,Je me repère avec les nombres relatifs et je les compare,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\4_corr.pdf
2025-12-09,Nombres relatifs,Je me repère avec les nombres relatifs et je les compare,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\4_Copie_corr_corr.pdf
2025-12-10,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\5_corr.pdf
2025-12-11,Nombres relatifs,Construction géométrique d’un lutin,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\5_Lutin.pdf
2025-12-15,Nombres relatifs,Je suis capable de déterminer l’opposé d’un nombre relatif,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\6.pdf
2025-12-17,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\7.pdf
2025-12-18,,Devoir surveillé,
2026-01-05,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\8.pdf
2026-01-08,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\9.pdf
2026-01-12,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\10.pdf
2026-01-14,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\11.pdf
2026-01-15,Expressions littérales,Utiliser une expression littérale,
2026-01-19,Expressions littérales,Utiliser une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\13.pdf
2026-01-20,Expressions littérales,Utiliser une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\12.pdf
